title,label,processed_title,high_priority_flag
    학년도  학기 중간고사 시간표 만료,0,중간고사 시간표,0
    학년도  학기 캠퍼스 중간시험 시간표,0,캠퍼스 중간시험 시간표,0
서울대학교     학년도 겨울학기 국내대학 학점 교류 수학 안내 만료,0,서울대학교 겨울 국내 대학 학점 교류 수학 안내,0
    학년도  학기 캠퍼스내 소속변경 전형 안내,0,캠퍼스 소속 변경 전형 안내,0
    학년도  학기 캠퍼스 중간,0,캠퍼스 중간,0
    학년도 캠퍼스 중간시험 시간표,0,캠퍼스 중간시험 시간표,0
    학년도  학기 캠퍼스 중간,0,캠퍼스 중간,0
계명대학교     학년도 겨울 계절학기 국내대학 학점교류 수학 안내 만료,0,계명대학교 겨울 계절 국내 대학 학점 교류 수학 안내,1
중앙대학교     학년도 겨울 계절학기 수학안내 만료 공통,0,중앙대학교 겨울 계절 수학 안내,1
      학기 분할납부  회 신청자  차 tuition installment payment guideline  만료,0,분할 납부 신청자 tuition installment payment guideline,0
    학년도  설명회,0,설명회,0
    학년도 동절기 난방시행계획 안내,0,절기 난방 시행 계획 안내,0
고려대학교     년도 겨울학기 국내교환 학점교류 수학안내 만료,0,고려대학교 겨울 국내 교환 학점 교류 수학 안내,1
    학년도 겨울학기 국내대학 수학안내 만료,0,겨울 국내 대학 수학 안내,0
      학기 학생건강공제회 및 이용안내 요약 ,0,학생 건강 공제 이용 안내 요약,0
     학년도 겨울 계절학기 국내대학 학점교류 수학안내 만료,0,겨울 계절 국내 대학 학점 교류 수학 안내,1
     학년도 겨울 계절학기 국내대학 학점 교류 수학 안내 만료,0,겨울 계절 국내 대학 학점 교류 수학 안내,1
영남대학교     학년도 겨울 계절학기 국내대학 학점 교류 수학 안내 만료 공통,0,영남대학교 겨울 계절 국내 대학 학점 교류 수학 안내,1
    학년도  학기 학부 강의정보 공유를 위한 설문 실시 안내 만료,0,학부 강의 정보 공유 설문 실시 안내,0
    학년도  학기 캠퍼스내 소속변경 면접 대상자 확인,0,캠퍼스 소속 변경 면접 대상자 확인,1
울산과학기술원     학년도 겨울 계절학기 국내대학 학점교류 수학 안내 만료,0,울산과학기술원 겨울 계절 국내 대학 학점 교류 수학 안내,1
    학년도  학기 재입학 특별전형 안내 re admission application guidelines   special round for      semester ,0,재입학 전형 안내 re admission application guideline special round semester,0
한국외국어대학교     학년도 겨울 계절학기 국내교환 학점교류 수학안내 만료,0,한국외국어대학교 겨울 계절 국내 교환 학점 교류 수학 안내,1
울산대학교     학년도 겨울 계절학기 국내대학 학점교류 수학안내 만료,0,울산대학교 겨울 계절 국내 대학 학점 교류 수학 안내,1
한국어 모집 안내,0,한국어 모집 안내,0
    학년도 교직과정 이수예정자 추가 선발,0,교직과정 이수 예정자 추가 선발,0
한국과학기술원     학년도 겨울 계절학기 국내교환 학점교류 수학 안내 만료,0,한국과학기술원 겨울 계절 국내 교환 학점 교류 수학 안내,1
대학교     학년도 겨울 계절학기 국내교환 학점교류 수학안내 만료,0,대학교 겨울 계절 국내 교환 학점 교류 수학 안내,1
    학년도 겨울 계절제수업 폐강 과목 안내  차 ,0,겨울 계절제 수업 폐강 과목 안내,1
    학년도 캠퍼스간 소속변경 전형 요강,0,캠퍼스 소속 변경 전형 요강,0
서비스 안내 공통,0,서비스 안내,0
    년  월 졸업신청 최종 변경 application period for february      graduation ,0,졸업 신청 최종 변경 application period february graduation,0
    년도 겨울 계절제수업 국내대학 교환학생 타대생  학사안내 만료,0,겨울 계절제 수업 국내 대학 교환 학생 타대생 학사 안내,1
성신여자대학교     학년도 겨울 계절학기 학점교류 수학안내 만료,0,성신여자대학교 겨울 계절 학점 교류 수학 안내,1
      학기 전공신청 및 전공진입 확인 기간 안내,0,전공 신청 전공 진입 확인 기간 안내,0
    년  월 교원자격증 발급 신청              ,0,교원 자격증 발급 신청,1
    학년도 겨울 계절제수업 등록 안내 만료,0,겨울 계절제 수업 등록 안내,1
한남대학교     학년도 겨울 계절학기 국내대학 학점교류 수학 안내 만료,0,한남대학교 겨울 계절 국내 대학 학점 교류 수학 안내,1
    학년도  학기 기말고사 안내,0,기말고사 안내,0
    학년도  학기 재입학 일반전형 합격자 발표,0,재입학 일반 전형 합격자 발표,0
건물 안내,0,건물 안내,0
    학년도  학기 캠퍼스내 복수전공 신청 안내,0,캠퍼스 복수 전공 신청 안내,0
    학년도  학기 졸업예정자 복수전공 전형 안내,0,졸업 예정자 복수 전공 전형 안내,0
    학년도 겨울 계절제수업 최종 폐강 과목 안내 만료,0,겨울 계절제 수업 최종 폐강 과목 안내,1
    학년도  학기 기말고사 시간표 만료,0,기말고사 시간표,0
동절기 따른 동파예방 협조의뢰,0,절기 예방 협조 의뢰,0
전주대학교     학년도 겨울 계절학기 국내대학 학점 교류 수학 안내 만료,0,전주대학교 겨울 계절 국내 대학 학점 교류 수학 안내,1
,0,,0
 학기 국제캠퍼스 전공 기말시험 시간표,0,국제 캠퍼스 전공 기말 시험 시간표,0
    학년도 겨울 계절제수업 추가 등록안내 만료,0,겨울 계절제 수업 추가 등록 안내,1
     재학생 만족도 설문 조사,0,재학생 만족 설문 조사,0
학부 일반대학원 등록금 분할납부 신청안내 tuition installment plan for undergrad   general grad  만료,0,학부 일반 대학원 등록금 분할 납부 신청 안내 tuition installment plan undergrad general grad,0
    학년도  학기 캠퍼스 기말시험 시간표,0,캠퍼스 기말 시험 시간표,0
    학년도  학기 학부 성적 확인 안내 만료,0,학부 성적 확인 안내,0
    학년도  학기 캠퍼스 생활관 입사 신청,0,캠퍼스 생활관 입사 신청,0
    학년도  학기 학부 휴학 및 복학 신청 변경 ,0,학부 휴학 복학 신청 변경,0
포항공과대학교     학년도  학기 학점교류 수학 안내,0,포항공과대학교 학점 교류 수학 안내,0
대한 안내,0,안내,0
    학년도  학기 캠퍼스내 연계전공 신청 안내,0,캠퍼스 연계 전공 신청 안내,0
전문 특수대학원 등록금 분할납부 신청안내 tuition installment plan for special   professional grad  만료,0,전문 특수 대학원 등록금 분할 납부 신청 안내 tuition installment plan special professional grad,0
    년 지역인재  급 수습직원 선발시험 대상자 추천 접수,0,지역 인재 수습 직원 선발 시험 대상자 추천,0
    학년도 연말정산용 교육비납입증명서 발급 안내 만료,0,연말정산 교육비 납입 증명서 발급 안내,0
      학기 일반대학원 신입생 등록안내 만료,0,일반 대학원 신입생 등록 안내,0
      학기 전문 특수대학원 신입생 등록안내 만료,0,전문 특수 대학원 신입생 등록 안내,0
    학년도  학기 재입학 특별전형 합격자 발표 만료,0,재입학 전형 합격자 발표,0
서울대학교     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,서울대학교 국내 대학 학점 교류 수학 안내,0
     겨울방학 기간 캠퍼스 셔틀버스 운행시간,0,겨울 방학 기간 캠퍼스 셔틀버스 운행 시간,0
    학년도 겨울 계절제 학부 강의정보 공유를 위한 설문 실시 안내 만료,0,겨울 계절제 학부 강의 정보 공유 설문 실시 안내,1
     겨울방학 기간 국제캠퍼스 셔틀버스 운행시간표,0,겨울 방학 기간 국제 캠퍼스 셔틀버스 운행 시간표,0
      학기 전공신청 및 전공진입 확인 기간,0,전공 신청 전공 진입 확인 기간,0
울산과학기술원     학년도  학기 국내대학 학점교류 수학 안내 만료,0,울산과학기술원 국내 대학 학점 교류 수학 안내,0
    학년도 캠퍼스간 소속변경 합격자 확인,0,캠퍼스 소속 변경 합격자 확인,0
영남대학교     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,영남대학교 국내 대학 학점 교류 수학 안내,0
계명대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,계명대학교 국내 대학 학점 교류 수학 안내,0
중앙대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,중앙대학교 국내 대학 학점 교류 수학 안내,0
고려대학교     학년도  학기 국내교환 학점교류 수학안내 만료,0,고려대학교 국내 교환 학점 교류 수학 안내,1
    학년도  학기 국내대학 수학안내 만료,0,국내 대학 수학 안내,0
     연세대 학부생 에어팟,0,연세대 학부생 에어팟,0
윤동주기념관,0,윤동주 기념관,0
울산대학교     학년도  학기 국내대학 학점교류 수학안내 만료,0,울산대학교 국내 대학 학점 교류 수학 안내,0
한국외국어대학교     학년도  학기 국내교환 학점교류 수학안내 만료,0,한국외국어대학교 국내 교환 학점 교류 수학 안내,1
총장,0,총장,0
     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,국내 대학 학점 교류 수학 안내,0
     학년도  학기 국내대학 학점교류 수학안내 만료,0,국내 대학 학점 교류 수학 안내,0
    학년도  학기 선택교양 일몰 교과목 재수강 지정 목록 및 신청 안내 만료,0,선택 교양 일몰 교과목 수강 지정 목록 신청 안내,1
안내,0,안내,0
한국과학기술원     학년도  학기 국내교환 학점교류 수학 안내 만료,0,한국과학기술원 국내 교환 학점 교류 수학 안내,1
캠퍼스 생활관 입사신청 dormitory application guide for of and students ,0,캠퍼스 생활관 입사 신청 dormitory application guide student,0
총장,0,총장,0
총장 취소 안내,0,총장 취소 안내,0
    학년도  학기 신촌캠퍼스 생활관 접수 semester sinchon campus application guide ,0,신촌 캠퍼스 생활관 semester sinchon campus application guide,0
      학기 점심나눔 신청 안내,0,점심 신청 안내,0
     학년도 편입생 학사안내 연기 안내 만료,0,편입 학사 안내 연기 안내,0
전주대학교     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,전주대학교 국내 대학 학점 교류 수학 안내,0
    학년도  학기 국내교환 학점교류 수학 안내 만료,0,국내 교환 학점 교류 수학 안내,1
재학생 등록 안내 registration guideline for current students  만료,0,재학생 등록 안내 registration guideline current student,0
    학년도  학부대학 신입생 학사지도 안내,0,학부 대학 신입생 학사 지도 안내,0
대학교     학년도  학기 국내교환 학점교류 수학안내 만료,0,대학교 국내 교환 학점 교류 수학 안내,1
    학년도  학기 학생건강공제회 가입 및 이용안내 요약 ,0,학생 건강 공제 가입 이용 안내 요약,0
    년  월 졸업 수료 심사 결과 조회 안내 notification of february      graduation   completion approval status ,0,졸업 수료 심사 결과 조회 안내 notification february graduation completion approval status,0
    학년도  학기 진료비공제 학생건강공제회 접수마감 안내,0,진료비 공제 학생 건강 공제 안내,0
    학년도  학기 졸업예정자 복수전공 합격자 발표 만료,0,졸업 예정자 복수 전공 합격자 발표,0
    년  월 졸업 신청 안내 notices for august      graduation application  마감 일자 변경 ,0,졸업 신청 안내 notice august graduation application 일자 변경,0
졸업앨범 미촬영자 앨범비,0,졸업앨범 촬영 앨범,0
성신여자대학교     학년도  학기 학점교류 수학안내 만료,0,성신여자대학교 학점 교류 수학 안내,0
신 편 입생 학생증 발급,0,학생증 발급,0
내국인 신 편 입생 학생증 발급,0,내국인 학생증 발급,0
    학년도  학기 국내대학 교환학생 타대생  학사안내 만료,0,국내 대학 교환 학생 타대생 학사 안내,1
교재 및 이용안내,0,교재 이용 안내,0
      학기  신입생 학사지도,0,신입생 학사 지도,0
    학년도  학기 학부 강의정보 공유 설문 결과 조회 안내 만료,0,학부 강의 정보 공유 설문 결과 조회 안내,0
    년도 육군 모집안내,0,육군 모집 안내,0
안내 만료,0,안내,0
한남대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,한남대학교 국내 대학 학점 교류 수학 안내,0
    년  월 졸업신청 안내 notices for august      graduation application  학사학위수료자 대상 for in the state of  completion of bachelor s degree  ,0,졸업 신청 안내 notice august graduation application 학사 학위 수료 대상 state completion bachelor degree,0
    학년도  학기 국제캠퍼스 입사 일정,0,국제 캠퍼스 입사 일정,0
    학년도  학기 학부 추가 실시 안내 만료,0,학부 추가 실시 안내,0
    학년도  학기 학부 수강인원 미달 교과목 안내 만료,0,학부 수강 인원 미달 교과목 안내,0
    년  월 조기졸업 신청 application period for      august graduation ,0,조기 졸업 신청 application period august graduation,0
안내,0,안내,0
신 편 입생 학생증 추가 변경,0,학생증 추가 변경,0
      학기 분할납부  회 신청자  차 납부     tuition installment payment guideline  만료,0,분할 납부 신청자 납부 tuition installment payment guideline,0
    학년도  학기 학부 수강과목 철회 안내 만료,0,학부 수강 과목 철회 안내,0
변경 안내 만료,0,변경 안내,0
    학년도 여름 계절제 수업 안내  학부    운영 안내 추가 만료,0,여름 계절제 수업 안내 학부 운영 안내 추가,1
      학기 캠퍼스 생활관 입사 추가 연기 additional of of sinchon campus,0,캠퍼스 생활관 입사 추가 연기 additional sinchon campus,0
학생 제도 안내,0,학생 제도 안내,0
    학년도  학기 학부 수강과목 변경 안내 연장  만료,0,학부 수강 과목 변경 안내,0
    학년도 여름 계절제 수강 희망 교과목 수요조사 안내  일정 변경  만료,0,여름 계절제 수강 희망 교과목 수요 조사 안내 일정 변경,1
    학년도  학기 학생건강공제회 안내,0,학생 건강 공제 안내,0
    년  월 졸업신청 확인 및 변경 안내 application for changing graduation plan in august,0,졸업 신청 확인 변경 안내 application change graduation plan august,0
서울대학교     학년도 여름학기 국내대학 학점 교류 수학 안내 만료,0,서울대학교 여름 국내 대학 학점 교류 수학 안내,0
    학년도  학기 캠퍼스내 소속변경 전형 안내,0,캠퍼스 소속 변경 전형 안내,0
      학기 분할납부  월 등록일정 안내 만료,0,분할 납부 등록 일정 안내,0
    학년도  학기,0,,0
      학기 분할납부  회 신청자  차 tuition installment payment guideline  만료,0,분할 납부 신청자 tuition installment payment guideline,0
    년도 행사 연기 안내 만료,0,행사 연기 안내,0
    년도 육군 모집안내,0,육군 모집 안내,0
      학기 캠퍼스 생활관 추가 입사 sinchon campus additional to the,0,캠퍼스 생활관 추가 입사 sinchon campus additional,0
    학년도  학기 재입학 일반전형 안내 re admission application guidelines   general round for       nd semester ,0,재입학 일반 전형 안내 re admission application guideline general round semester,0
    학년도 교직과정 이수예정자         만료,0,교직과정 이수 예정자,0
울산과학기술원     학년도 여름 계절학기 국내대학 학점교류 수학 안내 만료,0,울산과학기술원 여름 계절 국내 대학 학점 교류 수학 안내,1
    학년도  학기 재입학 특별전형 안내 re admission application guidelines   special round for       nd semester ,0,재입학 전형 안내 re admission application guideline special round semester,0
      학기 신 편입생 학생증 배부,0,편입 학생증 배부,0
울산대학교     학년도 여름 계절학기 국내대학 학점교류 수학안내 만료,0,울산대학교 여름 계절 국내 대학 학점 교류 수학 안내,1
전주대학교     학년도 여름 계절학기 국내대학 학점 교류 수학 안내 만료,0,전주대학교 여름 계절 국내 대학 학점 교류 수학 안내,1
      학기 졸업앨범 촬영 일정 안내,0,졸업앨범 촬영 일정 안내,0
영남대학교     학년도 여름 계절학기 국내대학 학점 교류 수학 안내 만료,0,영남대학교 여름 계절 국내 대학 학점 교류 수학 안내,1
    학년도 하절기 냉방실시계획 안내,0,하절기 냉방 실시 계획 안내,0
      학기 내국인 신 편입생 학생증 배부,0,내국인 편입 학생증 배부,0
    학년도 여름 계절제수업 폐강 과목 안내  차  만료,0,여름 계절제 수업 폐강 과목 안내,1
    학년도 여름 계절제수업 국내대학 교환학생 타대생  학사안내,0,여름 계절제 수업 국내 대학 교환 학생 타대생 학사 안내,1
중앙대학교     학년도 여름 계절학기 국내대학 학점교류 수학 안내 만료,0,중앙대학교 여름 계절 국내 대학 학점 교류 수학 안내,1
      학기 전공신청 및 전공진입 확인 기간 안내,0,전공 신청 전공 진입 확인 기간 안내,0
     학년도 여름 계절학기 국내대학 학점교류 수학안내 만료,0,여름 계절 국내 대학 학점 교류 수학 안내,1
대학교     학년도 여름 계절학기 국내교환 학점교류 수학안내 만료,0,대학교 여름 계절 국내 교환 학점 교류 수학 안내,1
    년  월 교원자격증 발급 신청          만료,0,교원 자격증 발급 신청,1
한국외국어대학교     학년도 여름 계절학기 국내교환 학점교류 수학안내 만료,0,한국외국어대학교 여름 계절 국내 교환 학점 교류 수학 안내,1
고려대학교     학년도 여름학기 국내교환 학점교류 수학안내 만료,0,고려대학교 여름 국내 교환 학점 교류 수학 안내,1
성신여자대학교     학년도 여름 계절학기 학점교류 수학안내 만료,0,성신여자대학교 여름 계절 학점 교류 수학 안내,1
    학년도  학기 캠퍼스내 복수전공 신청 안내 만료,0,캠퍼스 복수 전공 신청 안내,0
    학년도  학기 졸업예정자 복수전공 신청 안내 만료,0,졸업 예정자 복수 전공 신청 안내,0
    학년도  학기 캠퍼스내 연계전공 신청 안내 만료,0,캠퍼스 연계 전공 신청 안내,0
    학년도 여름 계절제수업 최종 폐강 과목 안내 만료,0,여름 계절제 수업 최종 폐강 과목 안내,1
    학년도  학기 학부 성적 확인 안내 만료,0,학부 성적 확인 안내,0
    학년도 여름 계절제수업 안내,0,여름 계절제 수업 안내,1
    학년도 여름 계절제 대면수업 수강생 대상 캠퍼스 입사 신청 안내,0,여름 계절제 대면 수업 수강생 대상 캠퍼스 입사 신청 안내,1
    학년도  학기 학부 강의정보 공유를 위한 설문 실시 안내 만료,0,학부 강의 정보 공유 설문 실시 안내,0
전문 특수대학원 등록금 분할납부 신청안내 tuition installment plan for special   professional grad  만료,0,전문 특수 대학원 등록금 분할 납부 신청 안내 tuition installment plan special professional grad,0
    년  월 졸업신청 최종 변경 application period for august      graduation  만료,0,졸업 신청 최종 변경 application period august graduation,0
한남대학교     학년도 여름 계절학기 국내대학 학점교류 수학안내 만료,0,한남대학교 여름 계절 국내 대학 학점 교류 수학 안내,1
    학년도  학기 학부 수업방식 안내 만료,0,학부 수업 방식 안내,0
학부 일반대학원 등록금 분할납부 신청안내 tuition installment plan for undergrad   general grad  만료,0,학부 일반 대학원 등록금 분할 납부 신청 안내 tuition installment plan undergrad general grad,0
    학년도 여름 계절제수업 추가 등록안내,0,여름 계절제 수업 추가 등록 안내,1
한국과학기술원     학년도 여름 계절학기 국내교환 학점교류 수학 안내 만료,0,한국과학기술원 여름 계절 국내 교환 학점 교류 수학 안내,1
    학년도  학기 학부 강의정보 공유 설문 결과 조회 안내,0,학부 강의 정보 공유 설문 결과 조회 안내,0
서울대학교     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,서울대학교 국내 대학 학점 교류 수학 안내,0
      학기 일반대학원 신입생 등록안내 만료,0,일반 대학원 신입생 등록 안내,0
    학년도  학기 학부 휴학 및 복학 신청 안내   notice for fall      semester,0,학부 휴학 복학 신청 안내 notice fall semester,0
      학기 전문 특수대학원 신입생 등록안내,0,전문 특수 대학원 신입생 등록 안내,0
영남대학교     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,영남대학교 국내 대학 학점 교류 수학 안내,0
울산과학기술원     학년도  학기 국내대학 학점교류 수학 안내 만료,0,울산과학기술원 국내 대학 학점 교류 수학 안내,0
    학년도  학기 학부 수강신청 안내 만료,0,학부 수강신청 안내,0
울산대학교     학년도  학기 국내대학 학점교류 수학안내 만료,0,울산대학교 국내 대학 학점 교류 수학 안내,0
한국외국어대학교     학년도  학기 국내교환 학점교류 수학안내,0,한국외국어대학교 국내 교환 학점 교류 수학 안내,1
    학년도  학기   notice leave of for fall semester to,0,notice leave fall semester,0
      학기 재학생 등록 안내 registration guideline for current students  만료,0,재학생 등록 안내 registration guideline current student,0
    학년도 여름 계절제 학부 강의정보 공유를 위한 설문 실시 안내,0,여름 계절제 학부 강의 정보 공유 설문 실시 안내,1
     학년도  학기 국내대학 학점 교류 수학 안내 만료,0,국내 대학 학점 교류 수학 안내,0
고려대학교     학년도  학기 국내교환 학점교류 수학안내 만료,0,고려대학교 국내 교환 학점 교류 수학 안내,1
학사경고자 학사지도 for academic,0,학사 경고자 학사 지도 academic,0
중앙대학교     학년도  학기 국내대학 학점교류 수학 안내 만료,0,중앙대학교 국내 대학 학점 교류 수학 안내,0
      학기 납부 안내 dormitory guide for dormitory students,0,납부 안내 dormitory guide dormitory student,0
    년  월 졸업 수료 심사 결과 조회 안내 notification of august      graduation   completion approval status ,0,졸업 수료 심사 결과 조회 안내 notification august graduation completion approval status,0
     학년도  학기 국내대학 학점교류 수학안내 만료,0,국내 대학 학점 교류 수학 안내,0
      학기 캠퍼스 생활관 입사 일정 semester dormitory application sinchon,0,캠퍼스 생활관 입사 일정 semester dormitory application sinchon,0
    년  월 졸업 신청 안내 notices for february      graduation application ,0,졸업 신청 안내 notice february graduation application,0
      학기 대학 원  신 편 입생 학생증 발급,0,대학 학생증 발급,0
    학년도  학기 내국인 대학 원  신 편 입생 학생증 발급,0,내국인 대학 학생증 발급,0
    년 졸업자 온라인 학위수여식 및 학위가운 대여 만료,0,졸업자 온라인 학위 수여식 학위 가운 대여,0
대학교     학년도  학기 국내교환 학점교류 수학안내,0,대학교 국내 교환 학점 교류 수학 안내,1
    학년도  학기 진료비공제 학생건강공제회 접수 마감 안내,0,진료비 공제 학생 건강 공제 안내,0
성신여자대학교     학년도  학기 학점교류 수학안내 만료,0,성신여자대학교 학점 교류 수학 안내,0
    학년도  학기 학생건강공제회 가입 및 이용안내 요약 ,0,학생 건강 공제 가입 이용 안내 요약,0
      학기 점심나눔 신청 안내 만료,0,점심 신청 안내,0
    학년도  학기 선택교양 일몰 교과목 재수강 지정 목록 및 신청 안내,0,선택 교양 일몰 교과목 수강 지정 목록 신청 안내,1
      학기 캠퍼스 생활관 신청안내   우정원     내국인 students ,0,캠퍼스 생활관 신청 안내 우정 내국인 student,0
    학년도  학기 국내대학 교환학생 타대생  학사안내,0,국내 대학 교환 학생 타대생 학사 안내,1
한남대학교     학년도  학기 국내대학 학점교류 수학안내 만료,0,한남대학교 국내 대학 학점 교류 수학 안내,0
      학기 신 편 입생 학생증 배부 안내,0,학생증 배부 안내,0
한국과학기술원     학년도  학기 국내교환 학점교류 수학 안내 만료,0,한국과학기술원 국내 교환 학점 교류 수학 안내,1
    학년도  학기 학부 수강인원 미달 폐강 교과목 안내,0,학부 수강 인원 미달 폐강 교과목 안내,0
    년  월 조기졸업 신청 안내 early graduation application period for      february graduation,0,조기 졸업 신청 안내 early graduation application period february graduation,0
      학기 캠퍼스 생활관 입사 연기 안내 of sinchon campus,0,캠퍼스 생활관 입사 연기 안내 sinchon campus,0
